Voltage,Capacitance,ESR(est.) 20°C@10kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,10kHz.1,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Status,VC,Vibration resistant,Weight (g)
35,100,0.288,0.2,6.3,11,1.0,-40,105,0.11,1.459,7000,2.25,1.0,1.88,0.66,35,4000,UHW1V101MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,700,EOL,3500.0,Normal,0.59
35,180,0.16,0.1,8,11.5,1.0,-40,105,0.11,0.811,9000,2.25,1.0,1.88,0.36,63,3000,UHW1V181MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1200,MP,6300.0,Normal,1.19
35,220,0.188,0.054,8,15,1.0,-40,105,0.11,0.663,10000,1.88,1.0,1.7,0.17,77,2000,UHW1V221MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1600,MP,7700.0,Normal,1.36
35,270,0.153,0.054,8,15,1.0,-40,105,0.11,0.54,10000,1.88,1.0,1.7,0.17,95,2000,UHW1V271MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1600,MP,9450.0,Normal,1.36
35,270,0.153,0.048,10,12.5,1.0,-40,105,0.11,0.54,10000,1.88,1.0,1.7,0.15,95,2000,UHW1V271MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1700,MP,9450.0,Normal,1.49
35,330,0.125,0.048,10,12.5,1.0,-40,105,0.11,0.442,10000,1.88,1.0,1.7,0.15,116,2000,UHW1V331MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1700,MP,11550.0,Normal,1.49
35,390,0.106,0.038,8,20,1.0,-40,105,0.11,0.374,10000,1.88,1.0,1.7,0.12,137,2000,UHW1V391MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1960,MP,13650.0,Normal,1.66
35,390,0.106,0.03,10,16,1.0,-40,105,0.11,0.374,10000,1.88,1.0,1.7,0.09,137,1800,UHW1V391MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2000,MP,13650.0,Normal,1.77
35,470,0.088,0.03,10,16,1.0,-40,105,0.11,0.31,10000,1.88,1.0,1.7,0.09,165,1800,UHW1V471MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2000,MP,16450.0,Normal,1.77
35,560,0.074,0.02,10,20,1.0,-40,105,0.11,0.261,10000,1.88,1.0,1.7,0.06,196,1400,UHW1V561MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2500,MP,19600.0,Normal,2.34
35,680,0.086,0.02,10,20,1.0,-40,105,0.11,0.215,10000,1.58,1.0,1.45,0.06,238,1400,UHW1V681MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2500,MP,23800.0,Normal,2.34
35,680,0.086,0.017,10,25,1.0,-40,105,0.11,0.215,10000,1.58,1.0,1.45,0.051,238,1200,UHW1V681MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2900,MP,23800.0,Normal,3.07
