Voltage,Capacitance,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Impedance -10°C,Impedance 20°C,Part Number,Ripple Current 105°C@100kHz,VC
80,12,1.592,5,11,0.09,9.947,2.5,2.25,1.0,1.88,3.2,0.72,EKZN800E□□120ME11D,235,960.0
80,27,0.707,6.3,11,0.09,4.421,2.5,2.25,1.0,1.88,1.5,0.34,EKZN800E□□270MF11D,390,2160.0
80,47,0.406,8,11.5,0.09,2.54,2.5,2.25,1.0,1.88,0.9,0.2,EKZN800E□□470MHB5D,650,3760.0
80,68,0.281,8,15,0.09,1.755,2.5,2.25,1.0,1.88,0.63,0.14,EKZN800E□□680MH15D,820,5440.0
80,82,0.233,8,20,0.09,1.456,2.5,2.25,1.0,1.88,0.54,0.12,EKZN800E□□820MH20D,1090,6560.0
80,82,0.233,10,12.5,0.09,1.456,2.5,2.25,1.0,1.88,0.56,0.14,EKZN800E□□820MJC5S,860,6560.0
80,100,0.191,10,12.5,0.09,1.194,2.5,2.25,1.0,1.88,0.56,0.14,EKZN800E□□101MJC5S,860,8000.0
80,120,0.159,10,16,0.09,0.995,2.5,2.25,1.0,1.88,0.36,0.09,EKZN800E□□121MJ16S,1150,9600.0
80,150,0.127,10,16,0.09,0.796,2.5,2.25,1.0,1.88,0.36,0.09,EKZN800E□□151MJ16S,1150,12000.0
80,180,0.106,10,20,0.09,0.663,2.5,2.25,1.0,1.88,0.28,0.068,EKZN800E□□181MJ20S,1570,14400.0
80,180,0.106,12.5,16,0.09,0.663,2.5,2.25,1.0,1.88,0.27,0.09,EKZN800E□□181MK16S,1430,14400.0
80,220,0.136,10,20,0.09,0.543,2.0,1.88,1.0,1.7,0.28,0.068,EKZN800E□□221MJ20S,1570,17600.0
80,220,0.136,10,25,0.09,0.543,2.0,1.88,1.0,1.7,0.22,0.055,EKZN800E□□221MJ25S,1780,17600.0
80,220,0.136,12.5,16,0.09,0.543,2.0,1.88,1.0,1.7,0.27,0.09,EKZN800E□□221MK16S,1430,17600.0
80,270,0.111,10,25,0.09,0.442,2.0,1.88,1.0,1.7,0.22,0.055,EKZN800E□□271MJ25S,1780,21600.0
80,270,0.111,12.5,20,0.09,0.442,2.0,1.88,1.0,1.7,0.15,0.048,EKZN800E□□271MK20S,1800,21600.0
80,330,0.09,12.5,20,0.09,0.362,2.0,1.88,1.0,1.7,0.15,0.048,EKZN800E□□331MK20S,1800,26400.0
80,390,0.077,12.5,25,0.09,0.306,2.0,1.88,1.0,1.7,0.12,0.038,EKZN800E□□391MK25S,2210,31200.0
80,470,0.063,12.5,30,0.09,0.254,2.0,1.88,1.0,1.7,0.11,0.033,EKZN800E□□471MK30S,2520,37600.0
